CallID,CustomerID,CallDate,IssueType,ResolutionStatus,SupervisorID
43,4382,2023-01-02 18:00:00,Issue1,Resolved,38
44,1445,2023-01-02 19:00:00,Issue1,Resolved,18
45,9255,2023-01-02 20:00:00,Issue1,Resolved,16
46,8968,2023-01-02 21:00:00,Issue3,Resolved,37
47,5806,2023-01-02 22:00:00,Issue2,Pending,6
48,3400,2023-01-02 23:00:00,Issue3,Pending,7
49,5217,2023-01-03 00:00:00,Issue1,Pending,37
50,5996,2023-01-03 01:00:00,Issue3,Pending,31
51,2242,2023-01-03 02:00:00,Issue1,Resolved,41
52,3953,2023-01-03 03:00:00,Issue3,Resolved,4
53,7552,2023-01-03 04:00:00,Issue1,Resolved,87
54,183,2023-01-03 05:00:00,Issue3,Resolved,13
55,7053,2023-01-03 06:00:00,Issue2,Pending,15
56,1972,2023-01-03 07:00:00,Issue2,Resolved,58
57,6243,2023-01-03 08:00:00,Issue2,Pending,72
58,3869,2023-01-03 09:00:00,Issue1,Resolved,37
59,8329,2023-01-03 10:00:00,Issue2,Resolved,31
60,3408,2023-01-03 11:00:00,Issue2,Pending,57
61,5348,2023-01-03 12:00:00,Issue3,Resolved,21
62,2961,2023-01-03 13:00:00,Issue2,Resolved,84
63,59,2023-01-03 14:00:00,Issue3,Resolved,49
64,2066,2023-01-03 15:00:00,Issue2,Resolved,42
65,4976,2023-01-03 16:00:00,Issue3,Resolved,27
66,8502,2023-01-03 17:00:00,Issue2,Resolved,48
67,6886,2023-01-03 18:00:00,Issue1,Pending,93
68,9924,2023-01-03 19:00:00,Issue3,Resolved,47
69,1909,2023-01-03 20:00:00,Issue2,Resolved,39
70,827,2023-01-03 21:00:00,Issue2,Resolved,20
71,7774,2023-01-03 22:00:00,Issue3,Resolved,43
72,9596,2023-01-03 23:00:00,Issue3,Resolved,79
73,9440,2023-01-04 00:00:00,Issue2,Pending,83
74,268,2023-01-04 01:00:00,Issue2,Pending,9
75,4138,2023-01-04 02:00:00,Issue3,Pending,52
76,1761,2023-01-04 03:00:00,Issue2,Pending,83
77,1713,2023-01-04 04:00:00,Issue3,Resolved,59
78,4876,2023-01-04 05:00:00,Issue2,Resolved,86
79,4278,2023-01-04 06:00:00,Issue1,Pending,24
80,3485,2023-01-04 07:00:00,Issue1,Pending,1
81,9227,2023-01-04 08:00:00,Issue1,Resolved,41
82,3893,2023-01-04 09:00:00,Issue3,Pending,97
83,437,2023-01-04 10:00:00,Issue1,Resolved,67
84,4649,2023-01-04 11:00:00,Issue2,Pending,93
85,2811,2023-01-04 12:00:00,Issue3,Resolved,95
86,5801,2023-01-04 13:00:00,Issue3,Pending,45
87,518,2023-01-04 14:00:00,Issue2,Resolved,60
88,2223,2023-01-04 15:00:00,Issue1,Resolved,85
89,7777,2023-01-04 16:00:00,Issue2,Resolved,51
90,3423,2023-01-04 17:00:00,Issue1,Pending,89
91,927,2023-01-04 18:00:00,Issue1,Resolved,66
92,2729,2023-01-04 19:00:00,Issue3,Pending,89
93,9391,2023-01-04 20:00:00,Issue3,Pending,20
94,4329,2023-01-04 21:00:00,Issue1,Pending,25
95,3257,2023-01-04 22:00:00,Issue3,Pending,43
96,7559,2023-01-04 23:00:00,Issue2,Pending,95
97,3341,2023-01-05 00:00:00,Issue2,Resolved,77
98,8328,2023-01-05 01:00:00,Issue3,Resolved,29
99,8451,2023-01-05 02:00:00,Issue3,Resolved,93
100,9435,2023-01-05 03:00:00,Issue3,Pending,41
101,4173,2023-01-05 04:00:00,Issue2,Resolved,82
102,8104,2023-01-05 05:00:00,Issue2,Pending,89
103,6219,2023-01-05 06:00:00,Issue3,Pending,7
104,9938,2023-01-05 07:00:00,Issue2,Pending,52
105,1293,2023-01-05 08:00:00,Issue1,Resolved,48
106,8525,2023-01-05 09:00:00,Issue1,Resolved,96
107,7516,2023-01-05 10:00:00,Issue2,Resolved,40
108,5778,2023-01-05 11:00:00,Issue3,Pending,53
109,7459,2023-01-05 12:00:00,Issue2,Resolved,51
110,6726,2023-01-05 13:00:00,Issue3,Pending,54
111,2796,2023-01-05 14:00:00,Issue1,Pending,52
112,8712,2023-01-05 15:00:00,Issue1,Pending,57
113,9176,2023-01-05 16:00:00,Issue3,Resolved,7
114,5328,2023-01-05 17:00:00,Issue3,Pending,28
115,33,2023-01-05 18:00:00,Issue2,Resolved,69
116,9856,2023-01-05 19:00:00,Issue2,Pending,58
117,5469,2023-01-05 20:00:00,Issue2,Pending,95
118,782,2023-01-05 21:00:00,Issue2,Pending,23
119,1890,2023-01-05 22:00:00,Issue3,Pending,4
120,848,2023-01-05 23:00:00,Issue1,Pending,38
121,2899,2023-01-06 00:00:00,Issue2,Pending,41
122,3452,2023-01-06 01:00:00,Issue3,Resolved,25
123,8212,2023-01-06 02:00:00,Issue3,Resolved,61
124,760,2023-01-06 03:00:00,Issue3,Resolved,92
125,3025,2023-01-06 04:00:00,Issue2,Pending,20
126,4455,2023-01-06 05:00:00,Issue3,Pending,74
127,7186,2023-01-06 06:00:00,Issue2,Pending,90
128,8624,2023-01-06 07:00:00,Issue2,Pending,4
129,187,2023-01-06 08:00:00,Issue3,Pending,76
130,1435,2023-01-06 09:00:00,Issue2,Pending,38
131,1350,2023-01-06 10:00:00,Issue2,Pending,88
132,9942,2023-01-06 11:00:00,Issue2,Pending,71
133,2346,2023-01-06 12:00:00,Issue1,Pending,2
134,1920,2023-01-06 13:00:00,Issue2,Pending,87
135,137,2023-01-06 14:00:00,Issue1,Resolved,44
136,1229,2023-01-06 15:00:00,Issue1,Resolved,5
137,2926,2023-01-06 16:00:00,Issue3,Pending,41
138,1692,2023-01-06 17:00:00,Issue2,Pending,85
139,4832,2023-01-06 18:00:00,Issue2,Pending,39
140,7549,2023-01-06 19:00:00,Issue3,Resolved,50
141,6454,2023-01-06 20:00:00,Issue3,Pending,57
142,162,2023-01-06 21:00:00,Issue2,Resolved,3
143,3069,2023-01-06 22:00:00,Issue2,Pending,81
144,3505,2023-01-06 23:00:00,Issue2,Resolved,3
145,7847,2023-01-07 00:00:00,Issue3,Resolved,91
146,1588,2023-01-07 01:00:00,Issue1,Pending,42
147,9160,2023-01-07 02:00:00,Issue3,Resolved,73
148,3424,2023-01-07 03:00:00,Issue3,Pending,37
149,1925,2023-01-07 04:00:00,Issue2,Resolved,32
150,789,2023-01-07 05:00:00,Issue2,Resolved,51
151,1848,2023-01-07 06:00:00,Issue1,Pending,41
152,9865,2023-01-07 07:00:00,Issue1,Pending,46
153,3138,2023-01-07 08:00:00,Issue3,Pending,75
154,6735,2023-01-07 09:00:00,Issue3,Resolved,87
155,8223,2023-01-07 10:00:00,Issue1,Pending,91
156,7079,2023-01-07 11:00:00,Issue2,Pending,51
157,7605,2023-01-07 12:00:00,Issue2,Resolved,54
158,9982,2023-01-07 13:00:00,Issue1,Pending,10
159,3481,2023-01-07 14:00:00,Issue2,Resolved,7
160,1299,2023-01-07 15:00:00,Issue1,Pending,3
161,7453,2023-01-07 16:00:00,Issue3,Resolved,61
162,4280,2023-01-07 17:00:00,Issue2,Pending,86
163,3522,2023-01-07 18:00:00,Issue1,Resolved,37
164,2835,2023-01-07 19:00:00,Issue1,Resolved,14
165,6300,2023-01-07 20:00:00,Issue3,Resolved,4
166,9209,2023-01-07 21:00:00,Issue1,Resolved,58
167,5121,2023-01-07 22:00:00,Issue3,Pending,40
168,9582,2023-01-07 23:00:00,Issue1,Pending,3
169,4984,2023-01-08 00:00:00,Issue1,Pending,20
170,3298,2023-01-08 01:00:00,Issue3,Resolved,31
171,2066,2023-01-08 02:00:00,Issue1,Resolved,44
172,5106,2023-01-08 03:00:00,Issue2,Pending,23
173,4824,2023-01-08 04:00:00,Issue1,Resolved,20
174,7366,2023-01-08 05:00:00,Issue2,Resolved,8
175,4877,2023-01-08 06:00:00,Issue3,Resolved,16
176,7161,2023-01-08 07:00:00,Issue1,Resolved,32
177,4873,2023-01-08 08:00:00,Issue3,Resolved,9
178,6612,2023-01-08 09:00:00,Issue3,Resolved,18
179,8694,2023-01-08 10:00:00,Issue3,Pending,85
180,1696,2023-01-08 11:00:00,Issue2,Resolved,49
181,3234,2023-01-08 12:00:00,Issue1,Resolved,41
182,3952,2023-01-08 13:00:00,Issue2,Resolved,72
183,1860,2023-01-08 14:00:00,Issue1,Resolved,23
184,9061,2023-01-08 15:00:00,Issue1,Resolved,99
185,1099,2023-01-08 16:00:00,Issue2,Resolved,50
186,8413,2023-01-08 17:00:00,Issue3,Pending,87
187,3112,2023-01-08 18:00:00,Issue1,Pending,60
188,2763,2023-01-08 19:00:00,Issue2,Pending,98
189,6915,2023-01-08 20:00:00,Issue3,Pending,68
190,1114,2023-01-08 21:00:00,Issue3,Resolved,29
191,4000,2023-01-08 22:00:00,Issue1,Pending,79
192,2807,2023-01-08 23:00:00,Issue3,Resolved,84
193,1900,2023-01-09 00:00:00,Issue3,Resolved,11
194,5122,2023-01-09 01:00:00,Issue1,Resolved,54
195,9207,2023-01-09 02:00:00,Issue1,Pending,92
196,7349,2023-01-09 03:00:00,Issue1,Pending,24
197,6576,2023-01-09 04:00:00,Issue1,Resolved,59
198,5607,2023-01-09 05:00:00,Issue1,Resolved,98
199,5082,2023-01-09 06:00:00,Issue1,Resolved,8
200,9057,2023-01-09 07:00:00,Issue2,Resolved,19
201,5256,2023-01-09 08:00:00,Issue1,Pending,71
202,382,2023-01-09 09:00:00,Issue1,Pending,26
203,3988,2023-01-09 10:00:00,Issue3,Pending,61
204,7296,2023-01-09 11:00:00,Issue3,Resolved,62
205,9434,2023-01-09 12:00:00,Issue2,Pending,72
206,4510,2023-01-09 13:00:00,Issue3,Resolved,92
207,5349,2023-01-09 14:00:00,Issue3,Pending,44
208,6744,2023-01-09 15:00:00,Issue1,Pending,33
209,7385,2023-01-09 16:00:00,Issue2,Pending,3
210,7046,2023-01-09 17:00:00,Issue1,Resolved,36
211,8832,2023-01-09 18:00:00,Issue3,Resolved,10
212,27,2023-01-09 19:00:00,Issue3,Pending,44
213,1481,2023-01-09 20:00:00,Issue1,Pending,26
214,2919,2023-01-09 21:00:00,Issue3,Resolved,40
215,1932,2023-01-09 22:00:00,Issue2,Pending,42
216,1941,2023-01-09 23:00:00,Issue1,Resolved,83
217,1647,2023-01-10 00:00:00,Issue3,Resolved,52
218,9751,2023-01-10 01:00:00,Issue3,Resolved,3
219,1006,2023-01-10 02:00:00,Issue1,Pending,80
220,2859,2023-01-10 03:00:00,Issue3,Pending,48
221,5962,2023-01-10 04:00:00,Issue1,Pending,67
222,6756,2023-01-10 05:00:00,Issue3,Pending,50
223,6369,2023-01-10 06:00:00,Issue3,Pending,4
224,8700,2023-01-10 07:00:00,Issue3,Pending,64
225,9545,2023-01-10 08:00:00,Issue2,Resolved,25
226,1437,2023-01-10 09:00:00,Issue3,Resolved,17
227,8215,2023-01-10 10:00:00,Issue1,Resolved,37
228,2270,2023-01-10 11:00:00,Issue3,Pending,98
229,3779,2023-01-10 12:00:00,Issue2,Pending,27
230,1792,2023-01-10 13:00:00,Issue3,Resolved,36
231,7165,2023-01-10 14:00:00,Issue3,Pending,51
232,4029,2023-01-10 15:00:00,Issue1,Pending,76
233,2559,2023-01-10 16:00:00,Issue2,Pending,34
234,7470,2023-01-10 17:00:00,Issue2,Pending,95
235,7107,2023-01-10 18:00:00,Issue2,Resolved,5
236,5203,2023-01-10 19:00:00,Issue1,Resolved,22
237,3847,2023-01-10 20:00:00,Issue3,Pending,48
238,8715,2023-01-10 21:00:00,Issue3,Resolved,58
239,8025,2023-01-10 22:00:00,Issue1,Pending,78
240,9085,2023-01-10 23:00:00,Issue2,Resolved,38
241,7581,2023-01-11 00:00:00,Issue2,Resolved,69
242,6267,2023-01-11 01:00:00,Issue3,Pending,54
243,3675,2023-01-11 02:00:00,Issue1,Resolved,25
244,5704,2023-01-11 03:00:00,Issue2,Pending,18
245,3671,2023-01-11 04:00:00,Issue1,Resolved,80
246,8886,2023-01-11 05:00:00,Issue2,Pending,83
247,6207,2023-01-11 06:00:00,Issue2,Resolved,74
248,2779,2023-01-11 07:00:00,Issue3,Resolved,8
249,6056,2023-01-11 08:00:00,Issue1,Resolved,83
250,2130,2023-01-11 09:00:00,Issue2,Pending,53
251,812,2023-01-11 10:00:00,Issue1,Resolved,77
252,8866,2023-01-11 11:00:00,Issue1,Pending,29
253,4915,2023-01-11 12:00:00,Issue1,Pending,17
254,6422,2023-01-11 13:00:00,Issue1,Resolved,29
255,6921,2023-01-11 14:00:00,Issue3,Pending,95
256,2206,2023-01-11 15:00:00,Issue2,Pending,56
257,7835,2023-01-11 16:00:00,Issue3,Resolved,48
258,6236,2023-01-11 17:00:00,Issue3,Resolved,22
259,4744,2023-01-11 18:00:00,Issue1,Resolved,54
260,7406,2023-01-11 19:00:00,Issue3,Resolved,1
261,6163,2023-01-11 20:00:00,Issue2,Resolved,79
262,1282,2023-01-11 21:00:00,Issue3,Resolved,75
263,2073,2023-01-11 22:00:00,Issue1,Pending,46
264,7702,2023-01-11 23:00:00,Issue1,Pending,54
265,2247,2023-01-12 00:00:00,Issue3,Resolved,18
266,8122,2023-01-12 01:00:00,Issue1,Pending,90
267,3815,2023-01-12 02:00:00,Issue3,Pending,41
268,2296,2023-01-12 03:00:00,Issue1,Pending,91
269,1338,2023-01-12 04:00:00,Issue2,Resolved,81
270,7716,2023-01-12 05:00:00,Issue1,Pending,1
271,7391,2023-01-12 06:00:00,Issue2,Resolved,42
272,434,2023-01-12 07:00:00,Issue3,Pending,36
273,2047,2023-01-12 08:00:00,Issue2,Pending,8
274,5565,2023-01-12 09:00:00,Issue1,Resolved,48
275,2881,2023-01-12 10:00:00,Issue2,Pending,89
276,6218,2023-01-12 11:00:00,Issue2,Resolved,50
277,4072,2023-01-12 12:00:00,Issue3,Pending,69
278,8128,2023-01-12 13:00:00,Issue1,Pending,33
279,587,2023-01-12 14:00:00,Issue2,Pending,39
280,8194,2023-01-12 15:00:00,Issue3,Pending,21
281,84,2023-01-12 16:00:00,Issue3,Pending,13
282,7083,2023-01-12 17:00:00,Issue2,Pending,13
283,3422,2023-01-12 18:00:00,Issue2,Pending,73
284,9374,2023-01-12 19:00:00,Issue1,Pending,57
285,4046,2023-01-12 20:00:00,Issue3,Resolved,39
286,6192,2023-01-12 21:00:00,Issue2,Resolved,81
287,7181,2023-01-12 22:00:00,Issue2,Resolved,75
288,8906,2023-01-12 23:00:00,Issue2,Resolved,76
289,795,2023-01-13 00:00:00,Issue3,Pending,93
290,1647,2023-01-13 01:00:00,Issue3,Resolved,24
291,6243,2023-01-13 02:00:00,Issue3,Pending,58
292,712,2023-01-13 03:00:00,Issue1,Resolved,20
293,3029,2023-01-13 04:00:00,Issue1,Pending,48
294,9302,2023-01-13 05:00:00,Issue2,Resolved,10
295,1635,2023-01-13 06:00:00,Issue3,Pending,59
296,205,2023-01-13 07:00:00,Issue3,Resolved,71
297,4146,2023-01-13 08:00:00,Issue1,Resolved,98
298,6861,2023-01-13 09:00:00,Issue3,Resolved,40
299,309,2023-01-13 10:00:00,Issue3,Pending,90
300,1835,2023-01-13 11:00:00,Issue3,Pending,78
301,5580,2023-01-13 12:00:00,Issue3,Resolved,17
302,7048,2023-01-13 13:00:00,Issue3,Pending,72
303,6672,2023-01-13 14:00:00,Issue1,Resolved,35
304,1840,2023-01-13 15:00:00,Issue3,Pending,70
305,4762,2023-01-13 16:00:00,Issue3,Pending,17
306,7897,2023-01-13 17:00:00,Issue2,Pending,50
307,8915,2023-01-13 18:00:00,Issue2,Resolved,36
308,3533,2023-01-13 19:00:00,Issue1,Pending,33
309,5756,2023-01-13 20:00:00,Issue2,Resolved,89
310,7244,2023-01-13 21:00:00,Issue2,Pending,54
311,2593,2023-01-13 22:00:00,Issue3,Pending,67
312,7950,2023-01-13 23:00:00,Issue1,Resolved,81
313,6317,2023-01-14 00:00:00,Issue1,Resolved,34
314,3054,2023-01-14 01:00:00,Issue3,Pending,12
315,5068,2023-01-14 02:00:00,Issue1,Pending,83
316,8531,2023-01-14 03:00:00,Issue3,Resolved,3
317,5933,2023-01-14 04:00:00,Issue3,Resolved,65
318,4032,2023-01-14 05:00:00,Issue3,Resolved,41
319,6612,2023-01-14 06:00:00,Issue2,Resolved,36
320,7400,2023-01-14 07:00:00,Issue1,Pending,65
321,9702,2023-01-14 08:00:00,Issue3,Pending,29
322,9741,2023-01-14 09:00:00,Issue3,Resolved,92
323,5479,2023-01-14 10:00:00,Issue1,Pending,37
324,6662,2023-01-14 11:00:00,Issue3,Resolved,67
325,3052,2023-01-14 12:00:00,Issue1,Pending,76
326,600,2023-01-14 13:00:00,Issue1,Pending,98
327,5205,2023-01-14 14:00:00,Issue2,Pending,61
328,3568,2023-01-14 15:00:00,Issue2,Resolved,52
329,4325,2023-01-14 16:00:00,Issue3,Pending,38
330,2993,2023-01-14 17:00:00,Issue3,Resolved,22
331,9052,2023-01-14 18:00:00,Issue1,Resolved,23
332,8091,2023-01-14 19:00:00,Issue3,Resolved,29
333,6485,2023-01-14 20:00:00,Issue3,Pending,69
334,5887,2023-01-14 21:00:00,Issue3,Pending,18
335,7960,2023-01-14 22:00:00,Issue1,Pending,60
336,7107,2023-01-14 23:00:00,Issue2,Resolved,28
337,7970,2023-01-15 00:00:00,Issue1,Pending,99
338,1126,2023-01-15 01:00:00,Issue2,Pending,65
339,7124,2023-01-15 02:00:00,Issue3,Resolved,49
340,1871,2023-01-15 03:00:00,Issue1,Resolved,74
341,8570,2023-01-15 04:00:00,Issue2,Resolved,91
342,605,2023-01-15 05:00:00,Issue2,Pending,30
343,7346,2023-01-15 06:00:00,Issue1,Resolved,73
344,9846,2023-01-15 07:00:00,Issue1,Resolved,24
345,3699,2023-01-15 08:00:00,Issue1,Resolved,78
346,2739,2023-01-15 09:00:00,Issue1,Resolved,71
347,9859,2023-01-15 10:00:00,Issue1,Resolved,61
348,1840,2023-01-15 11:00:00,Issue3,Pending,83
349,2404,2023-01-15 12:00:00,Issue2,Resolved,65
350,8486,2023-01-15 13:00:00,Issue1,Pending,35
351,2924,2023-01-15 14:00:00,Issue3,Resolved,34
352,1068,2023-01-15 15:00:00,Issue2,Pending,3
353,5872,2023-01-15 16:00:00,Issue3,Resolved,35
354,7356,2023-01-15 17:00:00,Issue2,Resolved,84
355,8203,2023-01-15 18:00:00,Issue3,Resolved,39
356,4548,2023-01-15 19:00:00,Issue3,Resolved,31
357,2343,2023-01-15 20:00:00,Issue2,Resolved,58
358,2885,2023-01-15 21:00:00,Issue2,Resolved,33
359,2667,2023-01-15 22:00:00,Issue1,Resolved,13
360,7943,2023-01-15 23:00:00,Issue3,Pending,27
361,9543,2023-01-16 00:00:00,Issue2,Resolved,83
362,4695,2023-01-16 01:00:00,Issue2,Pending,58
363,9639,2023-01-16 02:00:00,Issue2,Pending,76
364,1346,2023-01-16 03:00:00,Issue1,Resolved,81
365,8886,2023-01-16 04:00:00,Issue2,Pending,43
366,2006,2023-01-16 05:00:00,Issue1,Resolved,89
367,5586,2023-01-16 06:00:00,Issue3,Pending,24
368,1347,2023-01-16 07:00:00,Issue1,Pending,65
369,3428,2023-01-16 08:00:00,Issue3,Pending,92
370,3221,2023-01-16 09:00:00,Issue3,Pending,91
371,8652,2023-01-16 10:00:00,Issue2,Pending,76
372,9054,2023-01-16 11:00:00,Issue1,Resolved,67
373,6571,2023-01-16 12:00:00,Issue2,Resolved,56
374,8485,2023-01-16 13:00:00,Issue2,Pending,98
375,7056,2023-01-16 14:00:00,Issue3,Resolved,15
376,8423,2023-01-16 15:00:00,Issue2,Resolved,24
377,8582,2023-01-16 16:00:00,Issue1,Pending,47
378,7458,2023-01-16 17:00:00,Issue3,Pending,30
379,4197,2023-01-16 18:00:00,Issue2,Resolved,50
380,323,2023-01-16 19:00:00,Issue3,Resolved,29
381,5497,2023-01-16 20:00:00,Issue3,Pending,54
382,6248,2023-01-16 21:00:00,Issue3,Resolved,68
383,9378,2023-01-16 22:00:00,Issue2,Resolved,12
384,7116,2023-01-16 23:00:00,Issue1,Resolved,16
385,6301,2023-01-17 00:00:00,Issue2,Resolved,52
386,6892,2023-01-17 01:00:00,Issue1,Pending,36
387,6,2023-01-17 02:00:00,Issue1,Resolved,48
388,3275,2023-01-17 03:00:00,Issue1,Resolved,22
389,7310,2023-01-17 04:00:00,Issue3,Resolved,6
390,7809,2023-01-17 05:00:00,Issue1,Resolved,42
391,3069,2023-01-17 06:00:00,Issue2,Pending,36
392,8414,2023-01-17 07:00:00,Issue2,Pending,15
393,1414,2023-01-17 08:00:00,Issue2,Pending,70
394,8654,2023-01-17 09:00:00,Issue3,Resolved,87
395,2880,2023-01-17 10:00:00,Issue1,Pending,2
396,8459,2023-01-17 11:00:00,Issue3,Pending,73
397,840,2023-01-17 12:00:00,Issue2,Resolved,42
398,6003,2023-01-17 13:00:00,Issue1,Resolved,94
399,4169,2023-01-17 14:00:00,Issue2,Pending,15
400,9684,2023-01-17 15:00:00,Issue1,Resolved,82
401,5300,2023-01-17 16:00:00,Issue1,Resolved,22
402,6567,2023-01-17 17:00:00,Issue1,Pending,16
403,3485,2023-01-17 18:00:00,Issue1,Pending,24
404,5502,2023-01-17 19:00:00,Issue1,Pending,70
405,1258,2023-01-17 20:00:00,Issue3,Resolved,77
406,301,2023-01-17 21:00:00,Issue1,Resolved,23
407,5465,2023-01-17 22:00:00,Issue3,Resolved,21
408,5862,2023-01-17 23:00:00,Issue1,Pending,83
409,4058,2023-01-18 00:00:00,Issue3,Pending,28
410,6141,2023-01-18 01:00:00,Issue2,Resolved,13
411,4473,2023-01-18 02:00:00,Issue3,Resolved,14
412,2760,2023-01-18 03:00:00,Issue3,Pending,37
413,7004,2023-01-18 04:00:00,Issue2,Pending,78
414,2253,2023-01-18 05:00:00,Issue3,Resolved,23
415,1122,2023-01-18 06:00:00,Issue1,Resolved,89
416,4011,2023-01-18 07:00:00,Issue2,Resolved,2
417,4741,2023-01-18 08:00:00,Issue1,Pending,97
418,7627,2023-01-18 09:00:00,Issue1,Pending,74
419,2151,2023-01-18 10:00:00,Issue2,Resolved,70
420,7749,2023-01-18 11:00:00,Issue1,Pending,86
421,4629,2023-01-18 12:00:00,Issue2,Resolved,11
422,9807,2023-01-18 13:00:00,Issue3,Resolved,40
423,8232,2023-01-18 14:00:00,Issue3,Pending,51
424,3335,2023-01-18 15:00:00,Issue2,Pending,43
425,7733,2023-01-18 16:00:00,Issue2,Pending,33
426,1699,2023-01-18 17:00:00,Issue3,Resolved,8
427,4669,2023-01-18 18:00:00,Issue1,Resolved,12
428,2412,2023-01-18 19:00:00,Issue1,Resolved,9
429,7869,2023-01-18 20:00:00,Issue1,Pending,85
430,2847,2023-01-18 21:00:00,Issue1,Pending,92
431,248,2023-01-18 22:00:00,Issue2,Resolved,55
432,920,2023-01-18 23:00:00,Issue1,Resolved,68
433,7277,2023-01-19 00:00:00,Issue2,Pending,83
434,4862,2023-01-19 01:00:00,Issue3,Pending,23
435,6888,2023-01-19 02:00:00,Issue2,Pending,86
436,8078,2023-01-19 03:00:00,Issue1,Pending,79
437,4053,2023-01-19 04:00:00,Issue3,Resolved,94
438,5185,2023-01-19 05:00:00,Issue2,Resolved,94
439,888,2023-01-19 06:00:00,Issue2,Resolved,99
440,8247,2023-01-19 07:00:00,Issue3,Pending,16
441,4198,2023-01-19 08:00:00,Issue2,Resolved,85
442,6569,2023-01-19 09:00:00,Issue1,Pending,30
443,391,2023-01-19 10:00:00,Issue2,Resolved,47
444,9457,2023-01-19 11:00:00,Issue2,Pending,37
445,9499,2023-01-19 12:00:00,Issue3,Resolved,27
446,8229,2023-01-19 13:00:00,Issue3,Resolved,2
447,8077,2023-01-19 14:00:00,Issue1,Resolved,54
448,6064,2023-01-19 15:00:00,Issue1,Pending,54
449,5258,2023-01-19 16:00:00,Issue3,Resolved,35
450,7751,2023-01-19 17:00:00,Issue3,Resolved,84
451,662,2023-01-19 18:00:00,Issue2,Resolved,14
452,8307,2023-01-19 19:00:00,Issue2,Resolved,54
453,1649,2023-01-19 20:00:00,Issue1,Resolved,3
454,7260,2023-01-19 21:00:00,Issue3,Pending,50
455,30,2023-01-19 22:00:00,Issue3,Resolved,20
456,3770,2023-01-19 23:00:00,Issue3,Pending,35
457,2839,2023-01-20 00:00:00,Issue1,Pending,12
458,9605,2023-01-20 01:00:00,Issue3,Resolved,21
459,1892,2023-01-20 02:00:00,Issue2,Resolved,76
460,4251,2023-01-20 03:00:00,Issue1,Resolved,36
461,2600,2023-01-20 04:00:00,Issue1,Resolved,76
462,3287,2023-01-20 05:00:00,Issue3,Resolved,25
463,8260,2023-01-20 06:00:00,Issue3,Pending,57
464,9155,2023-01-20 07:00:00,Issue3,Pending,53
465,1078,2023-01-20 08:00:00,Issue3,Pending,50
466,3770,2023-01-20 09:00:00,Issue3,Resolved,91
467,6092,2023-01-20 10:00:00,Issue2,Pending,57
468,8980,2023-01-20 11:00:00,Issue3,Pending,86
469,1699,2023-01-20 12:00:00,Issue2,Resolved,47
470,6125,2023-01-20 13:00:00,Issue1,Pending,99
471,2214,2023-01-20 14:00:00,Issue3,Resolved,18
472,3365,2023-01-20 15:00:00,Issue1,Pending,74
473,4961,2023-01-20 16:00:00,Issue2,Resolved,32
